Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
null,System,Game Start up..,2025-11-26T12:42:30.584710100,null,0,null,null,0
Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
null,System,Load Game Data,2025-11-26T12:42:32.449527100,null,0,null,null,0
null,1,Enter Player Name,2025-11-26T12:42:39.089273100,null,0,null,null,0
null,2,Enter Player Name,2025-11-26T12:42:39.090924,null,0,null,null,0
null,1,Select Category,2025-11-26T12:42:40.678534300,Control Structures,0,null,null,0
null,1,Select Question,2025-11-26T12:42:41.307807200,Control Structures,100,null,null,0
null,1,Answer Question,2025-11-26T12:42:43.259206600,Control Structures,100,D,Incorrect,0
null,2,Select Category,2025-11-26T12:42:45.227859300,Functions,0,null,null,0
null,2,Select Question,2025-11-26T12:42:45.729946800,Functions,300,null,null,0
null,2,Answer Question,2025-11-26T12:42:47.336294600,Functions,300,B,Incorrect,0
null,System,Game Ended,2025-11-26T12:42:50.608603100,null,0,null,null,0
